All,County,Short,District,State
"Moody County, South Dakota",Moody County,Moody,County,South Dakota
"Oglala Lakota County, South Dakota",Oglala Lakota County,Oglala Lakota,County,South Dakota
"Pennington County, South Dakota",Pennington County,Pennington,County,South Dakota
"Perkins County, South Dakota",Perkins County,Perkins,County,South Dakota
"Potter County, South Dakota",Potter County,Potter,County,South Dakota
"Roberts County, South Dakota",Roberts County,Roberts,County,South Dakota
"Sanborn County, South Dakota",Sanborn County,Sanborn,County,South Dakota
"Spink County, South Dakota",Spink County,Spink,County,South Dakota
"Stanley County, South Dakota",Stanley County,Stanley,County,South Dakota
"Sully County, South Dakota",Sully County,Sully,County,South Dakota
"Todd County, South Dakota",Todd County,Todd,County,South Dakota
"Tripp County, South Dakota",Tripp County,Tripp,County,South Dakota
"Turner County, South Dakota",Turner County,Turner,County,South Dakota
"Union County, South Dakota",Union County,Union,County,South Dakota
"Walworth County, South Dakota",Walworth County,Walworth,County,South Dakota
"Yankton County, South Dakota",Yankton County,Yankton,County,South Dakota
"Ziebach County, South Dakota",Ziebach County,Ziebach,County,South Dakota
"Anderson County, Tennessee",Anderson County,Anderson,County,Tennessee
"Bedford County, Tennessee",Bedford County,Bedford,County,Tennessee
"Benton County, Tennessee",Benton County,Benton,County,Tennessee
"Bledsoe County, Tennessee",Bledsoe County,Bledsoe,County,Tennessee
"Blount County, Tennessee",Blount County,Blount,County,Tennessee
"Bradley County, Tennessee",Bradley County,Bradley,County,Tennessee
"Campbell County, Tennessee",Campbell County,Campbell,County,Tennessee
"Cannon County, Tennessee",Cannon County,Cannon,County,Tennessee
"Carroll County, Tennessee",Carroll County,Carroll,County,Tennessee
"Carter County, Tennessee",Carter County,Carter,County,Tennessee
"Cheatham County, Tennessee",Cheatham County,Cheatham,County,Tennessee
"Chester County, Tennessee",Chester County,Chester,County,Tennessee
"Claiborne County, Tennessee",Claiborne County,Claiborne,County,Tennessee
"Clay County, Tennessee",Clay County,Clay,County,Tennessee
"Cocke County, Tennessee",Cocke County,Cocke,County,Tennessee
"Coffee County, Tennessee",Coffee County,Coffee,County,Tennessee
"Crockett County, Tennessee",Crockett County,Crockett,County,Tennessee
"Cumberland County, Tennessee",Cumberland County,Cumberland,County,Tennessee
"Davidson County, Tennessee",Davidson County,Davidson,County,Tennessee
"Decatur County, Tennessee",Decatur County,Decatur,County,Tennessee
"DeKalb County, Tennessee",DeKalb County,DeKalb,County,Tennessee
"Dickson County, Tennessee",Dickson County,Dickson,County,Tennessee
"Dyer County, Tennessee",Dyer County,Dyer,County,Tennessee
"Fayette County, Tennessee",Fayette County,Fayette,County,Tennessee
"Fentress County, Tennessee",Fentress County,Fentress,County,Tennessee
"Franklin County, Tennessee",Franklin County,Franklin,County,Tennessee
"Gibson County, Tennessee",Gibson County,Gibson,County,Tennessee
"Giles County, Tennessee",Giles County,Giles,County,Tennessee
"Grainger County, Tennessee",Grainger County,Grainger,County,Tennessee
"Greene County, Tennessee",Greene County,Greene,County,Tennessee
"Grundy County, Tennessee",Grundy County,Grundy,County,Tennessee
"Hamblen County, Tennessee",Hamblen County,Hamblen,County,Tennessee
"Hamilton County, Tennessee",Hamilton County,Hamilton,County,Tennessee
"Hancock County, Tennessee",Hancock County,Hancock,County,Tennessee
"Hardeman County, Tennessee",Hardeman County,Hardeman,County,Tennessee
"Hardin County, Tennessee",Hardin County,Hardin,County,Tennessee
"Hawkins County, Tennessee",Hawkins County,Hawkins,County,Tennessee
"Haywood County, Tennessee",Haywood County,Haywood,County,Tennessee
"Henderson County, Tennessee",Henderson County,Henderson,County,Tennessee
"Henry County, Tennessee",Henry County,Henry,County,Tennessee
"Hickman County, Tennessee",Hickman County,Hickman,County,Tennessee
"Houston County, Tennessee",Houston County,Houston,County,Tennessee
"Humphreys County, Tennessee",Humphreys County,Humphreys,County,Tennessee
"Jackson County, Tennessee",Jackson County,Jackson,County,Tennessee
"Jefferson County, Tennessee",Jefferson County,Jefferson,County,Tennessee
"Johnson County, Tennessee",Johnson County,Johnson,County,Tennessee
"Knox County, Tennessee",Knox County,Knox,County,Tennessee
"Lake County, Tennessee",Lake County,Lake,County,Tennessee
"Lauderdale County, Tennessee",Lauderdale County,Lauderdale,County,Tennessee
"Lawrence County, Tennessee",Lawrence County,Lawrence,County,Tennessee
"Lewis County, Tennessee",Lewis County,Lewis,County,Tennessee
"Lincoln County, Tennessee",Lincoln County,Lincoln,County,Tennessee
"Loudon County, Tennessee",Loudon County,Loudon,County,Tennessee
"McMinn County, Tennessee",McMinn County,McMinn,County,Tennessee
"McNairy County, Tennessee",McNairy County,McNairy,County,Tennessee
"Macon County, Tennessee",Macon County,Macon,County,Tennessee
"Madison County, Tennessee",Madison County,Madison,County,Tennessee
"Marion County, Tennessee",Marion County,Marion,County,Tennessee
"Marshall County, Tennessee",Marshall County,Marshall,County,Tennessee
"Maury County, Tennessee",Maury County,Maury,County,Tennessee
"Meigs County, Tennessee",Meigs County,Meigs,County,Tennessee
"Monroe County, Tennessee",Monroe County,Monroe,County,Tennessee
"Montgomery County, Tennessee",Montgomery County,Montgomery,County,Tennessee
"Moore County, Tennessee",Moore County,Moore,County,Tennessee
"Morgan County, Tennessee",Morgan County,Morgan,County,Tennessee
"Obion County, Tennessee",Obion County,Obion,County,Tennessee
"Overton County, Tennessee",Overton County,Overton,County,Tennessee
"Perry County, Tennessee",Perry County,Perry,County,Tennessee
"Pickett County, Tennessee",Pickett County,Pickett,County,Tennessee
"Polk County, Tennessee",Polk County,Polk,County,Tennessee
"Putnam County, Tennessee",Putnam County,Putnam,County,Tennessee
"Rhea County, Tennessee",Rhea County,Rhea,County,Tennessee
"Roane County, Tennessee",Roane County,Roane,County,Tennessee
"Robertson County, Tennessee",Robertson County,Robertson,County,Tennessee
"Rutherford County, Tennessee",Rutherford County,Rutherford,County,Tennessee
"Scott County, Tennessee",Scott County,Scott,County,Tennessee
"Sequatchie County, Tennessee",Sequatchie County,Sequatchie,County,Tennessee
"Sevier County, Tennessee",Sevier County,Sevier,County,Tennessee
"Shelby County, Tennessee",Shelby County,Shelby,County,Tennessee
"Smith County, Tennessee",Smith County,Smith,County,Tennessee
"Stewart County, Tennessee",Stewart County,Stewart,County,Tennessee
"Sullivan County, Tennessee",Sullivan County,Sullivan,County,Tennessee
"Sumner County, Tennessee",Sumner County,Sumner,County,Tennessee
"Tipton County, Tennessee",Tipton County,Tipton,County,Tennessee
"Trousdale County, Tennessee",Trousdale County,Trousdale,County,Tennessee
"Unicoi County, Tennessee",Unicoi County,Unicoi,County,Tennessee
"Union County, Tennessee",Union County,Union,County,Tennessee
"Van Buren County, Tennessee",Van Buren County,Van Buren,County,Tennessee
"Warren County, Tennessee",Warren County,Warren,County,Tennessee
"Washington County, Tennessee",Washington County,Washington,County,Tennessee
"Wayne County, Tennessee",Wayne County,Wayne,County,Tennessee
"Weakley County, Tennessee",Weakley County,Weakley,County,Tennessee
"White County, Tennessee",White County,White,County,Tennessee
"Williamson County, Tennessee",Williamson County,Williamson,County,Tennessee
"Wilson County, Tennessee",Wilson County,Wilson,County,Tennessee
"Anderson County, Texas",Anderson County,Anderson,County,Texas
"Andrews County, Texas",Andrews County,Andrews,County,Texas
"Angelina County, Texas",Angelina County,Angelina,County,Texas
"Aransas County, Texas",Aransas County,Aransas,County,Texas
"Archer County, Texas",Archer County,Archer,County,Texas
"Armstrong County, Texas",Armstrong County,Armstrong,County,Texas
"Atascosa County, Texas",Atascosa County,Atascosa,County,Texas
"Austin County, Texas",Austin County,Austin,County,Texas
"Bailey County, Texas",Bailey County,Bailey,County,Texas
"Bandera County, Texas",Bandera County,Bandera,County,Texas
"Bastrop County, Texas",Bastrop County,Bastrop,County,Texas
"Baylor County, Texas",Baylor County,Baylor,County,Texas
"Bee County, Texas",Bee County,Bee,County,Texas
"Bell County, Texas",Bell County,Bell,County,Texas
"Bexar County, Texas",Bexar County,Bexar,County,Texas
"Blanco County, Texas",Blanco County,Blanco,County,Texas
"Borden County, Texas",Borden County,Borden,County,Texas
"Bosque County, Texas",Bosque County,Bosque,County,Texas
"Bowie County, Texas",Bowie County,Bowie,County,Texas
"Brazoria County, Texas",Brazoria County,Brazoria,County,Texas
"Brazos County, Texas",Brazos County,Brazos,County,Texas
"Brewster County, Texas",Brewster County,Brewster,County,Texas
"Briscoe County, Texas",Briscoe County,Briscoe,County,Texas
"Brooks County, Texas",Brooks County,Brooks,County,Texas
"Brown County, Texas",Brown County,Brown,County,Texas
"Burleson County, Texas",Burleson County,Burleson,County,Texas
"Burnet County, Texas",Burnet County,Burnet,County,Texas
"Caldwell County, Texas",Caldwell County,Caldwell,County,Texas
"Calhoun County, Texas",Calhoun County,Calhoun,County,Texas
"Callahan County, Texas",Callahan County,Callahan,County,Texas
"Cameron County, Texas",Cameron County,Cameron,County,Texas
"Camp County, Texas",Camp County,Camp,County,Texas
"Carson County, Texas",Carson County,Carson,County,Texas
"Cass County, Texas",Cass County,Cass,County,Texas
"Castro County, Texas",Castro County,Castro,County,Texas
"Chambers County, Texas",Chambers County,Chambers,County,Texas
"Cherokee County, Texas",Cherokee County,Cherokee,County,Texas
"Childress County, Texas",Childress County,Childress,County,Texas
"Clay County, Texas",Clay County,Clay,County,Texas
"Cochran County, Texas",Cochran County,Cochran,County,Texas
"Coke County, Texas",Coke County,Coke,County,Texas
"Coleman County, Texas",Coleman County,Coleman,County,Texas
"Collin County, Texas",Collin County,Collin,County,Texas
"Collingsworth County, Texas",Collingsworth County,Collingsworth,County,Texas
"Colorado County, Texas",Colorado County,Colorado,County,Texas
"Comal County, Texas",Comal County,Comal,County,Texas
"Comanche County, Texas",Comanche County,Comanche,County,Texas
"Concho County, Texas",Concho County,Concho,County,Texas
"Cooke County, Texas",Cooke County,Cooke,County,Texas
"Coryell County, Texas",Coryell County,Coryell,County,Texas
"Cottle County, Texas",Cottle County,Cottle,County,Texas
"Crane County, Texas",Crane County,Crane,County,Texas
"Crockett County, Texas",Crockett County,Crockett,County,Texas
"Crosby County, Texas",Crosby County,Crosby,County,Texas
"Culberson County, Texas",Culberson County,Culberson,County,Texas
"Dallam County, Texas",Dallam County,Dallam,County,Texas
"Dallas County, Texas",Dallas County,Dallas,County,Texas
"Dawson County, Texas",Dawson County,Dawson,County,Texas
"Deaf Smith County, Texas",Deaf Smith County,Deaf Smith,County,Texas
"Delta County, Texas",Delta County,Delta,County,Texas
"Denton County, Texas",Denton County,Denton,County,Texas
"DeWitt County, Texas",DeWitt County,DeWitt,County,Texas
"Dickens County, Texas",Dickens County,Dickens,County,Texas
"Dimmit County, Texas",Dimmit County,Dimmit,County,Texas
"Donley County, Texas",Donley County,Donley,County,Texas
"Duval County, Texas",Duval County,Duval,County,Texas
"Eastland County, Texas",Eastland County,Eastland,County,Texas
"Ector County, Texas",Ector County,Ector,County,Texas
"Edwards County, Texas",Edwards County,Edwards,County,Texas
"Ellis County, Texas",Ellis County,Ellis,County,Texas
"El Paso County, Texas",El Paso County,El Paso,County,Texas
"Erath County, Texas",Erath County,Erath,County,Texas
"Falls County, Texas",Falls County,Falls,County,Texas
"Fannin County, Texas",Fannin County,Fannin,County,Texas
"Fayette County, Texas",Fayette County,Fayette,County,Texas
"Fisher County, Texas",Fisher County,Fisher,County,Texas
"Floyd County, Texas",Floyd County,Floyd,County,Texas
"Foard County, Texas",Foard County,Foard,County,Texas
"Fort Bend County, Texas",Fort Bend County,Fort Bend,County,Texas
"Franklin County, Texas",Franklin County,Franklin,County,Texas
"Freestone County, Texas",Freestone County,Freestone,County,Texas
"Frio County, Texas",Frio County,Frio,County,Texas
"Gaines County, Texas",Gaines County,Gaines,County,Texas
"Galveston County, Texas",Galveston County,Galveston,County,Texas
"Garza County, Texas",Garza County,Garza,County,Texas
"Gillespie County, Texas",Gillespie County,Gillespie,County,Texas
"Glasscock County, Texas",Glasscock County,Glasscock,County,Texas
"Goliad County, Texas",Goliad County,Goliad,County,Texas
"Gonzales County, Texas",Gonzales County,Gonzales,County,Texas
"Gray County, Texas",Gray County,Gray,County,Texas
"Grayson County, Texas",Grayson County,Grayson,County,Texas
"Gregg County, Texas",Gregg County,Gregg,County,Texas
"Grimes County, Texas",Grimes County,Grimes,County,Texas
"Guadalupe County, Texas",Guadalupe County,Guadalupe,County,Texas
"Hale County, Texas",Hale County,Hale,County,Texas
"Hall County, Texas",Hall County,Hall,County,Texas
"Hamilton County, Texas",Hamilton County,Hamilton,County,Texas
"Hansford County, Texas",Hansford County,Hansford,County,Texas
"Hardeman County, Texas",Hardeman County,Hardeman,County,Texas
"Hardin County, Texas",Hardin County,Hardin,County,Texas
"Harris County, Texas",Harris County,Harris,County,Texas
"Harrison County, Texas",Harrison County,Harrison,County,Texas
"Hartley County, Texas",Hartley County,Hartley,County,Texas
"Haskell County, Texas",Haskell County,Haskell,County,Texas
"Hays County, Texas",Hays County,Hays,County,Texas
"Hemphill County, Texas",Hemphill County,Hemphill,County,Texas
"Henderson County, Texas",Henderson County,Henderson,County,Texas
"Hidalgo County, Texas",Hidalgo County,Hidalgo,County,Texas
"Hill County, Texas",Hill County,Hill,County,Texas
"Hockley County, Texas",Hockley County,Hockley,County,Texas
"Hood County, Texas",Hood County,Hood,County,Texas
"Hopkins County, Texas",Hopkins County,Hopkins,County,Texas
"Houston County, Texas",Houston County,Houston,County,Texas
"Howard County, Texas",Howard County,Howard,County,Texas
"Hudspeth County, Texas",Hudspeth County,Hudspeth,County,Texas
"Hunt County, Texas",Hunt County,Hunt,County,Texas
"Hutchinson County, Texas",Hutchinson County,Hutchinson,County,Texas
"Irion County, Texas",Irion County,Irion,County,Texas
"Jack County, Texas",Jack County,Jack,County,Texas
"Jackson County, Texas",Jackson County,Jackson,County,Texas
"Jasper County, Texas",Jasper County,Jasper,County,Texas
"Jeff Davis County, Texas",Jeff Davis County,Jeff Davis,County,Texas
"Jefferson County, Texas",Jefferson County,Jefferson,County,Texas
"Jim Hogg County, Texas",Jim Hogg County,Jim Hogg,County,Texas
"Jim Wells County, Texas",Jim Wells County,Jim Wells,County,Texas
"Johnson County, Texas",Johnson County,Johnson,County,Texas
"Jones County, Texas",Jones County,Jones,County,Texas
"Karnes County, Texas",Karnes County,Karnes,County,Texas
"Kaufman County, Texas",Kaufman County,Kaufman,County,Texas
"Kendall County, Texas",Kendall County,Kendall,County,Texas
"Kenedy County, Texas",Kenedy County,Kenedy,County,Texas
"Kent County, Texas",Kent County,Kent,County,Texas
"Kerr County, Texas",Kerr County,Kerr,County,Texas
"Kimble County, Texas",Kimble County,Kimble,County,Texas
"King County, Texas",King County,King,County,Texas
"Kinney County, Texas",Kinney County,Kinney,County,Texas
"Kleberg County, Texas",Kleberg County,Kleberg,County,Texas
"Knox County, Texas",Knox County,Knox,County,Texas
"Lamar County, Texas",Lamar County,Lamar,County,Texas
"Lamb County, Texas",Lamb County,Lamb,County,Texas
"Lampasas County, Texas",Lampasas County,Lampasas,County,Texas
"La Salle County, Texas",La Salle County,La Salle,County,Texas
"Lavaca County, Texas",Lavaca County,Lavaca,County,Texas
"Lee County, Texas",Lee County,Lee,County,Texas
"Leon County, Texas",Leon County,Leon,County,Texas
"Liberty County, Texas",Liberty County,Liberty,County,Texas
"Limestone County, Texas",Limestone County,Limestone,County,Texas
"Lipscomb County, Texas",Lipscomb County,Lipscomb,County,Texas
"Live Oak County, Texas",Live Oak County,Live Oak,County,Texas
"Llano County, Texas",Llano County,Llano,County,Texas
"Loving County, Texas",Loving County,Loving,County,Texas
"Lubbock County, Texas",Lubbock County,Lubbock,County,Texas
"Lynn County, Texas",Lynn County,Lynn,County,Texas
"McCulloch County, Texas",McCulloch County,McCulloch,County,Texas
"McLennan County, Texas",McLennan County,McLennan,County,Texas
"McMullen County, Texas",McMullen County,McMullen,County,Texas
"Madison County, Texas",Madison County,Madison,County,Texas
"Marion County, Texas",Marion County,Marion,County,Texas
"Martin County, Texas",Martin County,Martin,County,Texas
"Mason County, Texas",Mason County,Mason,County,Texas
"Matagorda County, Texas",Matagorda County,Matagorda,County,Texas
"Maverick County, Texas",Maverick County,Maverick,County,Texas
"Medina County, Texas",Medina County,Medina,County,Texas
"Menard County, Texas",Menard County,Menard,County,Texas
"Midland County, Texas",Midland County,Midland,County,Texas
"Milam County, Texas",Milam County,Milam,County,Texas
"Mills County, Texas",Mills County,Mills,County,Texas
"Mitchell County, Texas",Mitchell County,Mitchell,County,Texas
"Montague County, Texas",Montague County,Montague,County,Texas
"Montgomery County, Texas",Montgomery County,Montgomery,County,Texas
"Moore County, Texas",Moore County,Moore,County,Texas
"Morris County, Texas",Morris County,Morris,County,Texas
"Motley County, Texas",Motley County,Motley,County,Texas
"Nacogdoches County, Texas",Nacogdoches County,Nacogdoches,County,Texas
"Navarro County, Texas",Navarro County,Navarro,County,Texas
"Newton County, Texas",Newton County,Newton,County,Texas
"Nolan County, Texas",Nolan County,Nolan,County,Texas
"Nueces County, Texas",Nueces County,Nueces,County,Texas
"Ochiltree County, Texas",Ochiltree County,Ochiltree,County,Texas
"Oldham County, Texas",Oldham County,Oldham,County,Texas
"Orange County, Texas",Orange County,Orange,County,Texas
"Palo Pinto County, Texas",Palo Pinto County,Palo Pinto,County,Texas
"Panola County, Texas",Panola County,Panola,County,Texas
"Parker County, Texas",Parker County,Parker,County,Texas
"Parmer County, Texas",Parmer County,Parmer,County,Texas
"Pecos County, Texas",Pecos County,Pecos,County,Texas
"Polk County, Texas",Polk County,Polk,County,Texas
"Potter County, Texas",Potter County,Potter,County,Texas
"Presidio County, Texas",Presidio County,Presidio,County,Texas
"Rains County, Texas",Rains County,Rains,County,Texas
"Randall County, Texas",Randall County,Randall,County,Texas
"Reagan County, Texas",Reagan County,Reagan,County,Texas
"Real County, Texas",Real County,Real,County,Texas
"Red River County, Texas",Red River County,Red River,County,Texas
"Reeves County, Texas",Reeves County,Reeves,County,Texas
"Refugio County, Texas",Refugio County,Refugio,County,Texas
"Roberts County, Texas",Roberts County,Roberts,County,Texas
"Robertson County, Texas",Robertson County,Robertson,County,Texas
"Rockwall County, Texas",Rockwall County,Rockwall,County,Texas
"Runnels County, Texas",Runnels County,Runnels,County,Texas
"Rusk County, Texas",Rusk County,Rusk,County,Texas
"Sabine County, Texas",Sabine County,Sabine,County,Texas
"San Augustine County, Texas",San Augustine County,San Augustine,County,Texas
"San Jacinto County, Texas",San Jacinto County,San Jacinto,County,Texas
"San Patricio County, Texas",San Patricio County,San Patricio,County,Texas
"San Saba County, Texas",San Saba County,San Saba,County,Texas
"Schleicher County, Texas",Schleicher County,Schleicher,County,Texas
"Scurry County, Texas",Scurry County,Scurry,County,Texas
"Shackelford County, Texas",Shackelford County,Shackelford,County,Texas
"Shelby County, Texas",Shelby County,Shelby,County,Texas
"Sherman County, Texas",Sherman County,Sherman,County,Texas
"Smith County, Texas",Smith County,Smith,County,Texas
"Somervell County, Texas",Somervell County,Somervell,County,Texas
"Starr County, Texas",Starr County,Starr,County,Texas
"Stephens County, Texas",Stephens County,Stephens,County,Texas
"Sterling County, Texas",Sterling County,Sterling,County,Texas
"Stonewall County, Texas",Stonewall County,Stonewall,County,Texas
"Sutton County, Texas",Sutton County,Sutton,County,Texas
"Swisher County, Texas",Swisher County,Swisher,County,Texas
"Tarrant County, Texas",Tarrant County,Tarrant,County,Texas
"Taylor County, Texas",Taylor County,Taylor,County,Texas
"Terrell County, Texas",Terrell County,Terrell,County,Texas
"Terry County, Texas",Terry County,Terry,County,Texas
"Throckmorton County, Texas",Throckmorton County,Throckmorton,County,Texas
"Titus County, Texas",Titus County,Titus,County,Texas
"Tom Green County, Texas",Tom Green County,Tom Green,County,Texas
"Travis County, Texas",Travis County,Travis,County,Texas
"Trinity County, Texas",Trinity County,Trinity,County,Texas
"Tyler County, Texas",Tyler County,Tyler,County,Texas
"Upshur County, Texas",Upshur County,Upshur,County,Texas
"Upton County, Texas",Upton County,Upton,County,Texas
"Uvalde County, Texas",Uvalde County,Uvalde,County,Texas
"Val Verde County, Texas",Val Verde County,Val Verde,County,Texas
"Van Zandt County, Texas",Van Zandt County,Van Zandt,County,Texas
"Victoria County, Texas",Victoria County,Victoria,County,Texas
"Walker County, Texas",Walker County,Walker,County,Texas
"Waller County, Texas",Waller County,Waller,County,Texas
"Ward County, Texas",Ward County,Ward,County,Texas
"Washington County, Texas",Washington County,Washington,County,Texas
"Webb County, Texas",Webb County,Webb,County,Texas
"Wharton County, Texas",Wharton County,Wharton,County,Texas
"Wheeler County, Texas",Wheeler County,Wheeler,County,Texas
"Wichita County, Texas",Wichita County,Wichita,County,Texas
"Wilbarger County, Texas",Wilbarger County,Wilbarger,County,Texas
"Willacy County, Texas",Willacy County,Willacy,County,Texas
"Williamson County, Texas",Williamson County,Williamson,County,Texas
"Wilson County, Texas",Wilson County,Wilson,County,Texas
"Winkler County, Texas",Winkler County,Winkler,County,Texas
"Wise County, Texas",Wise County,Wise,County,Texas
"Wood County, Texas",Wood County,Wood,County,Texas
"Yoakum County, Texas",Yoakum County,Yoakum,County,Texas
"Young County, Texas",Young County,Young,County,Texas
"Zapata County, Texas",Zapata County,Zapata,County,Texas
"Zavala County, Texas",Zavala County,Zavala,County,Texas
"Beaver County, Utah",Beaver County,Beaver,County,Utah
"Box Elder County, Utah",Box Elder County,Box Elder,County,Utah
"Cache County, Utah",Cache County,Cache,County,Utah
"Carbon County, Utah",Carbon County,Carbon,County,Utah
"Daggett County, Utah",Daggett County,Daggett,County,Utah
"Davis County, Utah",Davis County,Davis,County,Utah
"Duchesne County, Utah",Duchesne County,Duchesne,County,Utah
"Emery County, Utah",Emery County,Emery,County,Utah
"Garfield County, Utah",Garfield County,Garfield,County,Utah
"Grand County, Utah",Grand County,Grand,County,Utah
"Iron County, Utah",Iron County,Iron,County,Utah
"Juab County, Utah",Juab County,Juab,County,Utah
"Kane County, Utah",Kane County,Kane,County,Utah
"Millard County, Utah",Millard County,Millard,County,Utah
"Morgan County, Utah",Morgan County,Morgan,County,Utah
"Piute County, Utah",Piute County,Piute,County,Utah
"Rich County, Utah",Rich County,Rich,County,Utah
"Salt Lake County, Utah",Salt Lake County,Salt Lake,County,Utah
"San Juan County, Utah",San Juan County,San Juan,County,Utah
"Sanpete County, Utah",Sanpete County,Sanpete,County,Utah
"Sevier County, Utah",Sevier County,Sevier,County,Utah
"Summit County, Utah",Summit County,Summit,County,Utah
"Tooele County, Utah",Tooele County,Tooele,County,Utah
"Uintah County, Utah",Uintah County,Uintah,County,Utah
"Utah County, Utah",Utah County,Utah,County,Utah
"Wasatch County, Utah",Wasatch County,Wasatch,County,Utah
"Washington County, Utah",Washington County,Washington,County,Utah
"Wayne County, Utah",Wayne County,Wayne,County,Utah
"Weber County, Utah",Weber County,Weber,County,Utah
"Addison County, Vermont",Addison County,Addison,County,Vermont
"Bennington County, Vermont",Bennington County,Bennington,County,Vermont
"Caledonia County, Vermont",Caledonia County,Caledonia,County,Vermont
"Chittenden County, Vermont",Chittenden County,Chittenden,County,Vermont
"Essex County, Vermont",Essex County,Essex,County,Vermont
"Franklin County, Vermont",Franklin County,Franklin,County,Vermont
"Grand Isle County, Vermont",Grand Isle County,Grand Isle,County,Vermont
"Lamoille County, Vermont",Lamoille County,Lamoille,County,Vermont
"Orange County, Vermont",Orange County,Orange,County,Vermont
"Orleans County, Vermont",Orleans County,Orleans,County,Vermont
"Rutland County, Vermont",Rutland County,Rutland,County,Vermont
"Washington County, Vermont",Washington County,Washington,County,Vermont
"Windham County, Vermont",Windham County,Windham,County,Vermont
"Windsor County, Vermont",Windsor County,Windsor,County,Vermont
"Accomack County, Virginia",Accomack County,Accomack,County,Virginia
"Albemarle County, Virginia",Albemarle County,Albemarle,County,Virginia
"Alleghany County, Virginia",Alleghany County,Alleghany,County,Virginia
"Amelia County, Virginia",Amelia County,Amelia,County,Virginia
"Amherst County, Virginia",Amherst County,Amherst,County,Virginia
"Appomattox County, Virginia",Appomattox County,Appomattox,County,Virginia
"Arlington County, Virginia",Arlington County,Arlington,County,Virginia
"Augusta County, Virginia",Augusta County,Augusta,County,Virginia
"Bath County, Virginia",Bath County,Bath,County,Virginia
"Bedford County, Virginia",Bedford County,Bedford,County,Virginia
"Bland County, Virginia",Bland County,Bland,County,Virginia
"Botetourt County, Virginia",Botetourt County,Botetourt,County,Virginia
"Brunswick County, Virginia",Brunswick County,Brunswick,County,Virginia
"Buchanan County, Virginia",Buchanan County,Buchanan,County,Virginia
"Buckingham County, Virginia",Buckingham County,Buckingham,County,Virginia
"Campbell County, Virginia",Campbell County,Campbell,County,Virginia
"Caroline County, Virginia",Caroline County,Caroline,County,Virginia
"Carroll County, Virginia",Carroll County,Carroll,County,Virginia
"Charles City County, Virginia",Charles City County,Charles City,County,Virginia
"Charlotte County, Virginia",Charlotte County,Charlotte,County,Virginia
"Chesterfield County, Virginia",Chesterfield County,Chesterfield,County,Virginia
"Clarke County, Virginia",Clarke County,Clarke,County,Virginia
"Craig County, Virginia",Craig County,Craig,County,Virginia
"Culpeper County, Virginia",Culpeper County,Culpeper,County,Virginia
"Cumberland County, Virginia",Cumberland County,Cumberland,County,Virginia
"Dickenson County, Virginia",Dickenson County,Dickenson,County,Virginia
"Dinwiddie County, Virginia",Dinwiddie County,Dinwiddie,County,Virginia
"Essex County, Virginia",Essex County,Essex,County,Virginia
"Fairfax County, Virginia",Fairfax County,Fairfax,County,Virginia
"Fauquier County, Virginia",Fauquier County,Fauquier,County,Virginia
"Floyd County, Virginia",Floyd County,Floyd,County,Virginia
"Fluvanna County, Virginia",Fluvanna County,Fluvanna,County,Virginia
"Franklin County, Virginia",Franklin County,Franklin,County,Virginia
"Frederick County, Virginia",Frederick County,Frederick,County,Virginia
"Giles County, Virginia",Giles County,Giles,County,Virginia
"Gloucester County, Virginia",Gloucester County,Gloucester,County,Virginia
"Goochland County, Virginia",Goochland County,Goochland,County,Virginia
"Grayson County, Virginia",Grayson County,Grayson,County,Virginia
"Greene County, Virginia",Greene County,Greene,County,Virginia
"Greensville County, Virginia",Greensville County,Greensville,County,Virginia
"Halifax County, Virginia",Halifax County,Halifax,County,Virginia
"Hanover County, Virginia",Hanover County,Hanover,County,Virginia
"Henrico County, Virginia",Henrico County,Henrico,County,Virginia
"Henry County, Virginia",Henry County,Henry,County,Virginia
"Highland County, Virginia",Highland County,Highland,County,Virginia
"Isle of Wight County, Virginia",Isle of Wight County,Isle of Wight,County,Virginia
"James City County, Virginia",James City County,James City,County,Virginia
"King and Queen County, Virginia",King and Queen County,King and Queen,County,Virginia
"King George County, Virginia",King George County,King George,County,Virginia
"King William County, Virginia",King William County,King William,County,Virginia
"Lancaster County, Virginia",Lancaster County,Lancaster,County,Virginia
"Lee County, Virginia",Lee County,Lee,County,Virginia
"Loudoun County, Virginia",Loudoun County,Loudoun,County,Virginia
"Louisa County, Virginia",Louisa County,Louisa,County,Virginia
"Lunenburg County, Virginia",Lunenburg County,Lunenburg,County,Virginia
"Madison County, Virginia",Madison County,Madison,County,Virginia
"Mathews County, Virginia",Mathews County,Mathews,County,Virginia
"Mecklenburg County, Virginia",Mecklenburg County,Mecklenburg,County,Virginia
"Middlesex County, Virginia",Middlesex County,Middlesex,County,Virginia
"Montgomery County, Virginia",Montgomery County,Montgomery,County,Virginia
"Nelson County, Virginia",Nelson County,Nelson,County,Virginia
"New Kent County, Virginia",New Kent County,New Kent,County,Virginia
"Northampton County, Virginia",Northampton County,Northampton,County,Virginia
"Northumberland County, Virginia",Northumberland County,Northumberland,County,Virginia
"Nottoway County, Virginia",Nottoway County,Nottoway,County,Virginia
"Orange County, Virginia",Orange County,Orange,County,Virginia
"Page County, Virginia",Page County,Page,County,Virginia
"Patrick County, Virginia",Patrick County,Patrick,County,Virginia
